starttime	seconds	ctime	dtime	ttime	wait
Thu Sep 28 18:08:05 2023	1695938885	0	3	3	3
Thu Sep 28 18:08:03 2023	1695938883	0	3	3	3
Thu Sep 28 18:08:03 2023	1695938883	0	3	3	3
Thu Sep 28 18:08:04 2023	1695938884	0	3	3	3
Thu Sep 28 18:08:03 2023	1695938883	0	3	4	3
Thu Sep 28 18:08:05 2023	1695938885	0	4	4	4
Thu Sep 28 18:08:03 2023	1695938883	0	4	4	3
Thu Sep 28 18:08:03 2023	1695938883	0	4	4	3
Thu Sep 28 18:08:04 2023	1695938884	0	4	4	4
Thu Sep 28 18:08:05 2023	1695938885	0	4	4	4
Thu Sep 28 18:08:05 2023	1695938885	0	4	4	4
Thu Sep 28 18:08:03 2023	1695938883	0	4	4	4
Thu Sep 28 18:08:05 2023	1695938885	0	4	4	4
Thu Sep 28 18:08:04 2023	1695938884	0	4	4	4
Thu Sep 28 18:08:04 2023	1695938884	0	4	4	4
Thu Sep 28 18:08:03 2023	1695938883	0	4	4	4
Thu Sep 28 18:08:03 2023	1695938883	0	4	4	4
Thu Sep 28 18:08:06 2023	1695938886	0	4	4	4
Thu Sep 28 18:08:03 2023	1695938883	0	4	4	4
Thu Sep 28 18:08:03 2023	1695938883	0	4	4	4
Thu Sep 28 18:08:03 2023	1695938883	0	4	4	4
Thu Sep 28 18:08:05 2023	1695938885	0	4	4	4
Thu Sep 28 18:08:05 2023	1695938885	0	4	4	4
Thu Sep 28 18:08:05 2023	1695938885	0	4	4	4
Thu Sep 28 18:08:04 2023	1695938884	0	4	4	4
Thu Sep 28 18:08:05 2023	1695938885	0	4	4	4
Thu Sep 28 18:08:05 2023	1695938885	0	4	4	4
Thu Sep 28 18:08:02 2023	1695938882	0	4	4	4
Thu Sep 28 18:08:03 2023	1695938883	0	4	4	4
Thu Sep 28 18:08:03 2023	1695938883	0	4	4	4
Thu Sep 28 18:08:02 2023	1695938882	0	4	4	4
Thu Sep 28 18:08:04 2023	1695938884	0	4	4	4
Thu Sep 28 18:08:05 2023	1695938885	0	4	4	4
Thu Sep 28 18:08:05 2023	1695938885	0	4	4	4
Thu Sep 28 18:08:05 2023	1695938885	0	4	4	4
Thu Sep 28 18:08:03 2023	1695938883	0	4	4	4
Thu Sep 28 18:08:05 2023	1695938885	0	4	4	4
Thu Sep 28 18:08:06 2023	1695938886	0	4	4	4
Thu Sep 28 18:08:03 2023	1695938883	0	4	4	4
Thu Sep 28 18:08:06 2023	1695938886	0	4	4	4
Thu Sep 28 18:08:05 2023	1695938885	0	4	4	4
Thu Sep 28 18:08:05 2023	1695938885	0	4	4	4
Thu Sep 28 18:08:02 2023	1695938882	0	4	4	4
Thu Sep 28 18:08:03 2023	1695938883	0	4	4	4
Thu Sep 28 18:08:03 2023	1695938883	0	4	4	4
Thu Sep 28 18:08:02 2023	1695938882	0	4	4	4
Thu Sep 28 18:08:04 2023	1695938884	0	4	4	4
Thu Sep 28 18:08:05 2023	1695938885	0	4	4	4
Thu Sep 28 18:08:05 2023	1695938885	0	4	4	4
Thu Sep 28 18:08:04 2023	1695938884	0	4	4	4
Thu Sep 28 18:08:02 2023	1695938882	0	4	4	4
Thu Sep 28 18:08:04 2023	1695938884	0	4	4	4
Thu Sep 28 18:08:03 2023	1695938883	0	4	4	4
Thu Sep 28 18:08:04 2023	1695938884	0	4	4	4
Thu Sep 28 18:08:03 2023	1695938883	0	4	4	4
Thu Sep 28 18:08:06 2023	1695938886	0	4	4	4
Thu Sep 28 18:08:05 2023	1695938885	0	4	4	4
Thu Sep 28 18:08:05 2023	1695938885	0	4	4	4
Thu Sep 28 18:08:03 2023	1695938883	0	4	4	4
Thu Sep 28 18:08:05 2023	1695938885	0	4	4	4
Thu Sep 28 18:08:05 2023	1695938885	0	4	4	4
Thu Sep 28 18:08:06 2023	1695938886	0	4	4	4
Thu Sep 28 18:08:03 2023	1695938883	0	4	4	4
Thu Sep 28 18:08:04 2023	1695938884	0	4	4	4
Thu Sep 28 18:08:05 2023	1695938885	0	4	4	4
Thu Sep 28 18:08:03 2023	1695938883	0	4	4	4
Thu Sep 28 18:08:05 2023	1695938885	0	4	4	4
Thu Sep 28 18:08:05 2023	1695938885	0	4	4	4
Thu Sep 28 18:08:05 2023	1695938885	0	4	4	4
Thu Sep 28 18:08:06 2023	1695938886	0	4	4	4
Thu Sep 28 18:08:03 2023	1695938883	0	4	4	4
Thu Sep 28 18:08:04 2023	1695938884	0	4	4	4
Thu Sep 28 18:08:06 2023	1695938886	0	4	4	4
Thu Sep 28 18:08:05 2023	1695938885	0	4	4	4
Thu Sep 28 18:08:04 2023	1695938884	0	4	4	4
Thu Sep 28 18:08:04 2023	1695938884	0	4	4	4
Thu Sep 28 18:08:05 2023	1695938885	0	4	4	4
Thu Sep 28 18:08:03 2023	1695938883	0	4	4	4
Thu Sep 28 18:08:04 2023	1695938884	0	4	4	4
Thu Sep 28 18:08:04 2023	1695938884	0	4	4	4
Thu Sep 28 18:08:05 2023	1695938885	0	4	4	4
Thu Sep 28 18:08:04 2023	1695938884	0	4	4	4
Thu Sep 28 18:08:04 2023	1695938884	0	4	4	4
Thu Sep 28 18:08:05 2023	1695938885	0	4	4	4
Thu Sep 28 18:08:03 2023	1695938883	0	4	4	4
Thu Sep 28 18:08:04 2023	1695938884	0	4	4	4
Thu Sep 28 18:08:03 2023	1695938883	0	4	4	4
Thu Sep 28 18:08:04 2023	1695938884	0	4	4	4
Thu Sep 28 18:08:03 2023	1695938883	0	4	4	4
Thu Sep 28 18:08:04 2023	1695938884	0	4	4	4
Thu Sep 28 18:08:05 2023	1695938885	0	4	4	4
Thu Sep 28 18:08:05 2023	1695938885	0	4	4	4
Thu Sep 28 18:08:04 2023	1695938884	0	4	4	4
Thu Sep 28 18:08:05 2023	1695938885	0	4	4	4
Thu Sep 28 18:08:03 2023	1695938883	0	4	4	4
Thu Sep 28 18:08:03 2023	1695938883	0	4	4	4
Thu Sep 28 18:08:04 2023	1695938884	0	4	4	4
Thu Sep 28 18:08:04 2023	1695938884	0	4	4	4
Thu Sep 28 18:08:04 2023	1695938884	0	4	4	4
Thu Sep 28 18:08:02 2023	1695938882	0	4	4	4
Thu Sep 28 18:08:03 2023	1695938883	0	4	4	4
Thu Sep 28 18:08:05 2023	1695938885	0	4	4	4
Thu Sep 28 18:08:04 2023	1695938884	0	4	4	4
Thu Sep 28 18:08:04 2023	1695938884	0	4	4	4
Thu Sep 28 18:08:05 2023	1695938885	0	4	4	4
Thu Sep 28 18:08:03 2023	1695938883	0	4	4	4
Thu Sep 28 18:08:04 2023	1695938884	0	4	4	4
Thu Sep 28 18:08:05 2023	1695938885	0	4	5	4
Thu Sep 28 18:08:06 2023	1695938886	0	4	5	4
Thu Sep 28 18:08:02 2023	1695938882	0	4	5	4
Thu Sep 28 18:08:03 2023	1695938883	0	4	5	4
Thu Sep 28 18:08:03 2023	1695938883	0	4	5	4
Thu Sep 28 18:08:04 2023	1695938884	0	4	5	4
Thu Sep 28 18:08:05 2023	1695938885	0	4	5	4
Thu Sep 28 18:08:04 2023	1695938884	0	4	5	4
Thu Sep 28 18:08:05 2023	1695938885	0	5	5	4
Thu Sep 28 18:08:05 2023	1695938885	0	5	5	4
Thu Sep 28 18:08:03 2023	1695938883	0	5	5	4
Thu Sep 28 18:08:05 2023	1695938885	0	5	5	4
Thu Sep 28 18:08:05 2023	1695938885	0	5	5	4
Thu Sep 28 18:08:03 2023	1695938883	0	5	5	4
Thu Sep 28 18:08:03 2023	1695938883	0	5	5	4
Thu Sep 28 18:08:05 2023	1695938885	0	5	5	4
Thu Sep 28 18:08:04 2023	1695938884	0	5	5	4
Thu Sep 28 18:08:05 2023	1695938885	0	5	5	4
Thu Sep 28 18:08:05 2023	1695938885	0	5	5	4
Thu Sep 28 18:08:05 2023	1695938885	0	5	5	4
Thu Sep 28 18:08:02 2023	1695938882	0	5	5	4
Thu Sep 28 18:08:04 2023	1695938884	0	5	5	4
Thu Sep 28 18:08:04 2023	1695938884	0	5	5	4
Thu Sep 28 18:08:05 2023	1695938885	0	5	5	4
Thu Sep 28 18:08:04 2023	1695938884	0	5	5	4
Thu Sep 28 18:08:03 2023	1695938883	0	5	5	4
Thu Sep 28 18:08:03 2023	1695938883	0	5	5	4
Thu Sep 28 18:08:05 2023	1695938885	0	5	5	4
Thu Sep 28 18:08:03 2023	1695938883	0	5	5	4
Thu Sep 28 18:08:03 2023	1695938883	0	5	5	4
Thu Sep 28 18:08:05 2023	1695938885	0	5	5	4
Thu Sep 28 18:08:04 2023	1695938884	0	5	5	4
Thu Sep 28 18:08:02 2023	1695938882	0	5	5	4
Thu Sep 28 18:08:03 2023	1695938883	0	5	5	4
Thu Sep 28 18:08:03 2023	1695938883	0	5	5	4
Thu Sep 28 18:08:05 2023	1695938885	0	5	5	4
Thu Sep 28 18:08:04 2023	1695938884	0	5	5	4
Thu Sep 28 18:08:04 2023	1695938884	0	5	5	4
Thu Sep 28 18:08:04 2023	1695938884	0	5	5	5
Thu Sep 28 18:08:05 2023	1695938885	0	5	5	4
Thu Sep 28 18:08:05 2023	1695938885	0	5	5	4
Thu Sep 28 18:08:03 2023	1695938883	0	5	5	5
Thu Sep 28 18:08:03 2023	1695938883	0	5	5	4
Thu Sep 28 18:08:05 2023	1695938885	0	5	5	5
Thu Sep 28 18:08:04 2023	1695938884	0	5	5	5
Thu Sep 28 18:08:03 2023	1695938883	0	5	5	5
Thu Sep 28 18:08:03 2023	1695938883	0	5	5	4
Thu Sep 28 18:08:05 2023	1695938885	0	5	5	5
Thu Sep 28 18:08:03 2023	1695938883	0	5	5	5
Thu Sep 28 18:08:02 2023	1695938882	0	5	5	5
Thu Sep 28 18:08:03 2023	1695938883	0	5	5	5
Thu Sep 28 18:08:04 2023	1695938884	0	5	5	4
Thu Sep 28 18:08:06 2023	1695938886	0	5	5	5
Thu Sep 28 18:08:04 2023	1695938884	0	5	5	4
Thu Sep 28 18:08:05 2023	1695938885	0	5	5	5
Thu Sep 28 18:08:05 2023	1695938885	0	5	5	5
Thu Sep 28 18:08:04 2023	1695938884	0	5	5	5
Thu Sep 28 18:08:05 2023	1695938885	0	5	5	4
Thu Sep 28 18:08:05 2023	1695938885	0	5	5	5
Thu Sep 28 18:08:03 2023	1695938883	0	5	5	4
Thu Sep 28 18:08:04 2023	1695938884	0	5	5	4
Thu Sep 28 18:08:04 2023	1695938884	0	5	5	5
Thu Sep 28 18:08:02 2023	1695938882	0	5	5	5
Thu Sep 28 18:08:05 2023	1695938885	0	5	5	5
Thu Sep 28 18:08:02 2023	1695938882	0	5	5	5
Thu Sep 28 18:08:05 2023	1695938885	0	5	5	5
Thu Sep 28 18:08:04 2023	1695938884	0	5	5	4
Thu Sep 28 18:08:03 2023	1695938883	0	5	5	5
Thu Sep 28 18:08:03 2023	1695938883	0	5	5	5
Thu Sep 28 18:08:04 2023	1695938884	0	5	5	5
Thu Sep 28 18:08:05 2023	1695938885	0	5	5	5
Thu Sep 28 18:08:04 2023	1695938884	0	5	5	5
Thu Sep 28 18:08:03 2023	1695938883	0	5	5	5
Thu Sep 28 18:08:04 2023	1695938884	0	5	5	5
Thu Sep 28 18:08:04 2023	1695938884	0	5	5	5
Thu Sep 28 18:08:05 2023	1695938885	0	5	5	4
Thu Sep 28 18:08:03 2023	1695938883	0	5	5	4
Thu Sep 28 18:08:03 2023	1695938883	0	5	5	5
Thu Sep 28 18:08:02 2023	1695938882	0	5	5	4
Thu Sep 28 18:08:05 2023	1695938885	0	5	5	5
Thu Sep 28 18:08:06 2023	1695938886	0	5	5	5
Thu Sep 28 18:08:02 2023	1695938882	0	5	5	5
Thu Sep 28 18:08:05 2023	1695938885	0	5	5	5
Thu Sep 28 18:08:04 2023	1695938884	0	5	5	5
Thu Sep 28 18:08:03 2023	1695938883	0	5	5	4
Thu Sep 28 18:08:03 2023	1695938883	0	5	5	5
Thu Sep 28 18:08:05 2023	1695938885	0	5	5	5
Thu Sep 28 18:08:04 2023	1695938884	0	5	5	5
Thu Sep 28 18:08:03 2023	1695938883	0	5	5	4
Thu Sep 28 18:08:04 2023	1695938884	0	5	5	5
Thu Sep 28 18:08:05 2023	1695938885	0	5	5	5
Thu Sep 28 18:08:03 2023	1695938883	0	5	5	5
Thu Sep 28 18:08:05 2023	1695938885	0	5	5	5
Thu Sep 28 18:08:03 2023	1695938883	0	5	5	5
Thu Sep 28 18:08:03 2023	1695938883	0	5	5	5
Thu Sep 28 18:08:03 2023	1695938883	0	5	5	5
Thu Sep 28 18:08:04 2023	1695938884	0	5	5	4
Thu Sep 28 18:08:03 2023	1695938883	0	5	5	5
Thu Sep 28 18:08:06 2023	1695938886	0	5	5	5
Thu Sep 28 18:08:04 2023	1695938884	0	5	5	5
Thu Sep 28 18:08:03 2023	1695938883	0	5	5	4
Thu Sep 28 18:08:02 2023	1695938882	0	5	5	5
Thu Sep 28 18:08:03 2023	1695938883	0	5	5	5
Thu Sep 28 18:08:03 2023	1695938883	0	5	5	4
Thu Sep 28 18:08:03 2023	1695938883	0	5	5	5
Thu Sep 28 18:08:03 2023	1695938883	0	5	5	5
Thu Sep 28 18:08:04 2023	1695938884	0	5	5	5
Thu Sep 28 18:08:02 2023	1695938882	0	5	5	5
Thu Sep 28 18:08:03 2023	1695938883	0	5	5	4
Thu Sep 28 18:08:04 2023	1695938884	0	5	5	4
Thu Sep 28 18:08:05 2023	1695938885	0	5	5	5
Thu Sep 28 18:08:03 2023	1695938883	0	5	5	4
Thu Sep 28 18:08:03 2023	1695938883	0	5	5	5
Thu Sep 28 18:08:03 2023	1695938883	0	5	5	5
Thu Sep 28 18:08:05 2023	1695938885	0	5	5	5
Thu Sep 28 18:08:02 2023	1695938882	0	5	5	4
Thu Sep 28 18:08:04 2023	1695938884	0	5	5	5
Thu Sep 28 18:08:04 2023	1695938884	0	5	5	5
Thu Sep 28 18:08:03 2023	1695938883	0	5	5	4
Thu Sep 28 18:08:06 2023	1695938886	0	5	5	5
Thu Sep 28 18:08:06 2023	1695938886	0	5	5	5
Thu Sep 28 18:08:04 2023	1695938884	0	5	5	5
Thu Sep 28 18:08:03 2023	1695938883	0	5	5	4
Thu Sep 28 18:08:05 2023	1695938885	0	5	5	5
Thu Sep 28 18:08:06 2023	1695938886	0	5	5	5
Thu Sep 28 18:08:05 2023	1695938885	0	5	5	5
Thu Sep 28 18:08:06 2023	1695938886	0	5	5	5
Thu Sep 28 18:08:05 2023	1695938885	0	5	5	5
Thu Sep 28 18:08:03 2023	1695938883	0	5	5	5
Thu Sep 28 18:08:05 2023	1695938885	0	5	5	4
Thu Sep 28 18:08:02 2023	1695938882	0	5	5	5
Thu Sep 28 18:08:03 2023	1695938883	0	5	5	5
Thu Sep 28 18:08:04 2023	1695938884	0	5	5	5
Thu Sep 28 18:08:05 2023	1695938885	0	5	5	5
Thu Sep 28 18:08:05 2023	1695938885	0	5	5	5
Thu Sep 28 18:08:05 2023	1695938885	0	5	5	5
Thu Sep 28 18:08:04 2023	1695938884	0	5	5	5
